,airbnb_property_id,latitude,longitude,address,review_date,review_text,id,member_since,first_name,country,state,city,description
0,2182254,33.9341108607,-118.263138729,"Los Angeles, CA, United States",2015-12-01,Bertrand is a great host! He made me feel like home from the first day. Everyone one was extremely nice and the apartment is very clean and functional. You have everything you could need just as described. A must!,45622152,2015-10-01,Romain, United States, California,Los Angeles,"French graduate student living in Los Angeles and currently looking for a job. Very friendly and easy going, I am the respectful guest you are looking to welcome at your place :)"
1,2182254,33.9341108607,-118.263138729,"Los Angeles, CA, United States",2015-11-01,Very nice place with great people! Nice and clean apartment with all you need for long(or short) staying!  ,31520928,2015-04-01,Mikhail, Russia,,Moscow,
2,2182254,33.9341108607,-118.263138729,"Los Angeles, CA, United States",2016-05-01,"My boyfriend and I stayed here for the weekend to visit family and attend the Beyonce concert in Pasadena. The location was incredibly convenient. I was able to visit Downtown, Carson, Hawthorne, and Pasadena all relatively quickly. To anyone who's not very familiar with central L.A., the surrounding neighborhood may be off-putting, but I think, the hedges in the front, locked gate, and security doors should offer a little extra peace of mind. 

The inside of the place was very clean-- immaculate, even. We didn't cook or have much use for the refrigerator besides some snacks from the road, but we had everything we needed in case we wanted to prepare or store any food/drinks. The day we arrived was a tad warm and humid, so I was initially bummed about not having A/C, but once we opened the windows and got the fans going for a while, we were just fine.

I also loved that it doesn't have a TV. I understand that may not be everyone's cup of tea, but I enjoyed focusing on other things like books or simple conversation when we wanted to wind down for the night. We didn't spend a ton of time in the apartment besides sleeping and getting ready for the day, so that part of it was perfect. If I had any questions, Bertrand was super friendly and responsible. Checking in and out were a breeze and completely hassle-free. I'd definitely stay again if it's available next time we're in town. Thanks for everything, Bertrand! :)",32154612,2015-04-01,Brironni, United States, Nevada,Henderson,
3,2182254,33.9341108607,-118.263138729,"Los Angeles, CA, United States",2016-05-01,It was fantastic. Bertrand was so nice and accommodating. ,59481171,2016-02-01,Mike, United States, Tennessee,Nashville,
4,2182254,33.9341108607,-118.263138729,"Los Angeles, CA, United States",2016-05-01,"cozy little apartment, perfect for 2-3 people. quiet neighborhood and friendly neighbors inside the gates. outside the gates the neighborhood seemed to be a little on the sketchy side but defiantly felt comfortable staying inside the gates. BJ was a good host, very polite and respectful of our privacy. ",27131372,2015-02-01,Michael, United States, California,San Diego,
5,2182254,33.9341108607,-118.263138729,"Los Angeles, CA, United States",2016-05-01,"Great experience.
Perfect size for 3-4 people.
House in compliance with photos.
Place on the road to park a car safely.",46041224,2015-10-01,Kévin, France,,Cambrai,
6,2182254,33.9341108607,-118.263138729,"Los Angeles, CA, United States",2016-04-01,"Very nice stay at Bertrand's place! He answered all our questions about LA. Metro lines and buses are easy to access and really close but having a car in LA is probably better to visit everything. The place was suuuuper clean and welcoming!
I would definitively go back!
",66336958,2016-04-01,Isabelle, Canada,,Québec,
7,2182254,33.9341108607,-118.263138729,"Los Angeles, CA, United States",2016-04-01,"Bertrand's apartment is just as advertised. It has a queen-sized bed in the bedroom plus a sofa bed, which was perfect for two buddies on a road trip. The kitchen had all of the appliances you could need and was fully stocked with silverware, plates etc. Bertrand himself was completely professional. He met us at the gate, showed us how to access everything and then made sure he was available if we had any concerns, which we never came close to having. The neighborhood was lively during the day and quiet at night. I would stay here again in a heartbeat. Thanks for the great stay Bertrand!! ",65924368,2016-04-01,Sean, United States, Washington,Tacoma,"Hey guys, my name is Sean and I am brand-spanking new to air bnb. I am from Tacoma WA, just south of Seattle, in the great Pacific Northwest. I have been steadily checking off my wish list of places to visit, but thankfully I still have pages and pages left to go. When I visit a place, I try to see it as the locals do, sometimes it works and sometimes I look like an idiot, but I'm sticking with it. As for me personally, I'm just an easy going guy who wants to see how the rest of the country "
8,2182254,33.9341108607,-118.263138729,"Los Angeles, CA, United States",2016-04-01,"Great place! Cozy, clean and over all nice. The host was great, helpful and made sure we had everything we needed. The only thing was the neighborhood felt a little sketchy at night but other than that a great stay. I would definitely recommend it. 

Extra plus the have a cute dog. ",46122467,2015-10-01,Jeremiah, United States, Kentucky,Jeremiah,
9,2182254,33.9341108607,-118.263138729,"Los Angeles, CA, United States",2016-04-01,Thank you Bertrand for letting us stay at your place. The house was super clean. It had everything we needed. Parking is easy and free on the street. Thanks again!,62871909,2016-03-01,Maha,Egypt,,Egypt,
10,2182254,33.9341108607,-118.263138729,"Los Angeles, CA, United States",2016-03-01,"My boyfriend and I were visiting LA for several days and we really enjoyed our stay here.  Everything in the apartment was just as pictured.  The size was perfect and had everything we needed- bed with linens, towels, dishes in the kitchen (we didn't end up using) and Internet access.  We rented a car and the location was convenient to the highways for anywhere we wanted to go.  Bertrand was very nice and welcoming, and assisted us promptly when we had questions or needed something (like when we realized we had forgotten to pack soap :)). We would definitely stay again.  ",26440784,2015-01-01,Breana, United States, Washington,Seattle,
11,2182254,33.9341108607,-118.263138729,"Los Angeles, CA, United States",2016-03-01,My stay at Bertrand's place was a very pleasant one. The place is exactly as it is pictured and feels very much like home. Apartment was clean and had all the amenities we needed to make us comfortable during our short stay. Bertrand was quick with his responses to my concerns and questions. I was at ease knowing that he was just located out in the front house if we were to run into any issues. Would definitely recommend this place if you were in LA for a short time and wanted a place to stay at that's close to everything. ,55062537,2016-01-01,Lily, United States, California,San Jose,
12,2182254,33.9341108607,-118.263138729,"Los Angeles, CA, United States",2016-03-01,"It was amazing staying Bertrand's place. Very clean and comfortable. Very quiet neighborhood & secure. I had the apartment to myself, he was there if you needed anything. Definitely would stay here again. ",24204794,2014-11-01,Kenneth, United States, Washington,Kent,
13,2182254,33.9341108607,-118.263138729,"Los Angeles, CA, United States",2016-03-01,"This apartment is ""just like home""...especially if home is an urban retreat equipped the convenience of major highways and local attractions. BJ was a great host, and was our saviour after another reservation fell through. As it turned out, our stay at BJ's happened to be the highlight of our trip. Coffee in the garden, the greenery, are just what you need before/after exploring greater LA. The apartment is bright and airy, and came equipped with all the necessities we needed to feel at home. Thanks again BJ and Co.! 

(Your future resident-AirBnBers)
Teisha & Chrys",36236096,2015-06-01,Chrys, United States, Maryland,Baltimore,
14,2182254,33.9341108607,-118.263138729,"Los Angeles, CA, United States",2016-02-01,I stayed at Bertrand place recently with a couple of friends. Great experience ,56886049,2016-01-01,Jessica, United States, Maryland,Gaithersburg,
15,2182254,33.9341108607,-118.263138729,"Los Angeles, CA, United States",2016-02-01,"Bertrand is very nice, caring, and friendly. He does his best to make his guest feel comfortable. The place is nice, clean, quiet, and is as advertised. Spent some very pleasant time here and I would highly recommend him and this place.",56795971,2016-01-01,Shiela, United States, Alaska,Anchorage,
16,2182254,33.9341108607,-118.263138729,"Los Angeles, CA, United States",2016-02-01,I booked the room for a co-worker of mine and Bertrand was great. Super responsive and accommodating. ,48723065,2015-11-01,Vaughn, United States, California,San Francisco,
17,2182254,33.9341108607,-118.263138729,"Los Angeles, CA, United States",2016-01-01,"From the moment of booking this , Bertrand was very helpful and eager to assist me. He answered all my questions and was very prompt in responding. Once I arrived , he greeted me with a huge smile and showed me and my partner our quarters. He is very respectful and warming.  The apartment is amazing ! Just like the pictures ! The bed is comfortable and the heater works so good on cold nights.  Quiet place, sometimes it felt like it was just us staying there.
Everything in the room was functional to a point that I did not need to ask for anything extra the whole time.  Bertrand has a wnderful property and I recommend it to anyone ! I will most def make this my new place to stay when I am in CA again. I am very greatful I made the choice.",50050991,2015-11-01,Natalia, Puerto Rico,,San Juan,
18,2182254,33.9341108607,-118.263138729,"Los Angeles, CA, United States",2016-01-01,"We enjoyed to stay in the cozy apartment of Bertrand. He was very kind, gave us some good advices for LA and was very helpful. We definitely stay there again next time.",37339468,2015-07-01,Carmen, United States, California,Berkeley,
19,2182254,33.9341108607,-118.263138729,"Los Angeles, CA, United States",2015-12-01,"I think the house is too expensive. I purchased 7 nights at price of $480. After I spent one night, I had an emergency and had to go back. However, I could not get any refund. I am a student, so this money means a lot to me. This is a bad experience.",33915218,2015-05-01,Shidi, China,,Ningbo,
